Statut;Coordonnées géographiques;Geo Shape
En exploitation;42.31357199733267, 9.15836829191412;"{""coordinates"": [[9.1589179, 42.3130756], [9.1588747, 42.3130792], [9.1578868, 42.314037], [9.157883, 42.3140589], [9.1578532, 42.3141093]], ""type"": ""LineString""}"
En exploitation;42.31294853138065, 9.149074338079108;"{""coordinates"": [[9.148379, 42.3129844], [9.1485202, 42.312995], [9.148795, 42.3130166], [9.1488391, 42.3130203], [9.1488791, 42.313018], [9.1490072, 42.3130103], [9.1492515, 42.3129949], [9.1494248, 42.3129892], [9.149443, 42.3129881], [9.1494508, 42.3129822], [9.1494581, 42.3129718], [9.1494954, 42.3128649], [9.1495343, 42.3127397], [9.1495705, 42.3126138]], ""type"": ""LineString""}"
En exploitation;42.30888040083788, 9.147797402578114;"{""coordinates"": [[9.147852, 42.3083596], [9.147825, 42.3084018], [9.147791, 42.3084598], [9.1477575, 42.3085097], [9.1476662, 42.3086451], [9.1476349, 42.3086822], [9.147605, 42.3087093], [9.1475267, 42.3087837], [9.1474531, 42.3088459], [9.1474551, 42.308853], [9.1474715, 42.3088692], [9.1475336, 42.3089142], [9.147553, 42.3089375], [9.14769, 42.3091362], [9.1477033, 42.3091471], [9.1477274, 42.3091448], [9.147821, 42.3091228], [9.1479812, 42.3090834], [9.1481969, 42.3090418], [9.1482147, 42.3090371], [9.148226, 42.3090301], [9.1482271, 42.3090174], [9.1482176, 42.3089511], [9.1482071, 42.3089003], [9.1482016, 42.3088826], [9.148192, 42.3088663], [9.1481897, 42.3088625], [9.1481848, 42.3088539]], ""type"": ""LineString""}"
En exploitation;42.30421445048401, 9.151311767025277;"{""coordinates"": [[9.1504919, 42.3032383], [9.1504789, 42.3032477], [9.1504321, 42.3033027], [9.1504309, 42.3033856], [9.1508782, 42.3038815], [9.1513435, 42.3042958], [9.1518764, 42.30471], [9.152233, 42.3050023], [9.1523216, 42.305001], [9.1523817, 42.3049906], [9.1523995, 42.3049883]], ""type"": ""LineString""}"
En exploitation;42.31195630991044, 9.149840233017123;"{""coordinates"": [[9.1495705, 42.3126138], [9.149614, 42.3124953], [9.1498005, 42.3120649], [9.1498487, 42.3119168], [9.1499171, 42.3118306], [9.1499328, 42.3116323], [9.1499465, 42.3115705], [9.1499684, 42.3115411], [9.1499803, 42.3115286], [9.1499998, 42.3115166], [9.150021, 42.3115099], [9.1500518, 42.3115026], [9.1500757, 42.3114976], [9.1500962, 42.3114964], [9.1501045, 42.311495], [9.1501101, 42.3114893], [9.1501115, 42.3114801], [9.1500536, 42.3113665]], ""type"": ""LineString""}"
En exploitation;42.30820205027592, 9.146746747148603;"{""coordinates"": [[9.1467418, 42.3081508], [9.1467504, 42.3082399], [9.1467517, 42.3082533]], ""type"": ""LineString""}"
En exploitation;42.30943775072328, 9.14860323811927;"{""coordinates"": [[9.1489662, 42.3099601], [9.148943, 42.3099553], [9.1489021, 42.3099627], [9.1488609, 42.3099652], [9.1488101, 42.3099681], [9.1488015, 42.309966], [9.1488008, 42.3099606], [9.148873, 42.3097829], [9.1488695, 42.3097506], [9.1487925, 42.3093866], [9.1487851, 42.3093627], [9.148732, 42.3093108], [9.148684, 42.3092938], [9.1486255, 42.3092927], [9.1485702, 42.3093104], [9.1484892, 42.3093487], [9.1484298, 42.3093739], [9.1484093, 42.3093751], [9.148388, 42.3093592], [9.1483562, 42.3093349], [9.1483335, 42.3093046], [9.148309, 42.3092699], [9.1482908, 42.3092249], [9.1482786, 42.3091904], [9.1482665, 42.3091235], [9.1482282, 42.3089144], [9.1482154, 42.3088753], [9.1482019, 42.3088616], [9.1482005, 42.3088601], [9.14819, 42.3088515]], ""type"": ""LineString""}"
En exploitation;42.31045409752872, 9.149615340075602;"{""coordinates"": [[9.1500536, 42.3113665], [9.1500487, 42.3112911], [9.1499686, 42.3111469], [9.1499353, 42.3110974], [9.149861, 42.3110051], [9.1498052, 42.3109389], [9.1497883, 42.3109182], [9.1497634, 42.3108673], [9.1497289, 42.3107727], [9.1496153, 42.3104685], [9.1495908, 42.3103769], [9.1495843, 42.3103168], [9.149571, 42.3101027], [9.1495663, 42.3100153], [9.1495697, 42.309979], [9.1495703, 42.3099618], [9.149571, 42.3099563], [9.1495701, 42.3099365], [9.149557, 42.3099138], [9.1495388, 42.3098978], [9.1495285, 42.3098822], [9.1495186, 42.3098692], [9.1494994, 42.3098586], [9.1494785, 42.3098581], [9.1494425, 42.3098619], [9.1493863, 42.3098725], [9.149099, 42.3099383], [9.1490468, 42.3099505], [9.1490148, 42.3099589], [9.1489977, 42.3099635]], ""type"": ""LineString""}"
En exploitation;42.30149788271798, 9.153542046895033;"{""coordinates"": [[9.1529138, 42.3010507], [9.1529136, 42.3010507], [9.1529426, 42.3011267], [9.1529689, 42.3011676], [9.1530839, 42.3012646], [9.1531357, 42.301294], [9.1531964, 42.3013266], [9.1533613, 42.3013882], [9.1535519, 42.3014518], [9.1538163, 42.3015471], [9.1540073, 42.3016026], [9.1537767, 42.3019469], [9.153733, 42.3019576], [9.1537157, 42.3019618]], ""type"": ""LineString""}"
En exploitation;42.3015259965129, 9.155312262792787;"{""coordinates"": [[9.1558537, 42.3015224], [9.1558537, 42.3015358], [9.1558537, 42.3015549], [9.1557605, 42.3016146], [9.155731, 42.3016326], [9.1556903, 42.3016612], [9.1556834, 42.3016652], [9.1556726, 42.3016668], [9.1556665, 42.3016663], [9.1556476, 42.301661], [9.1556183, 42.3016483], [9.1547294, 42.3013493], [9.1547327, 42.3013442]], ""type"": ""LineString""}"
En exploitation;42.29855491578916, 9.173428398258725;"{""coordinates"": [[9.1724594, 42.2990354], [9.1742337, 42.2981554], [9.174325, 42.2981111], [9.1743799, 42.2980897], [9.1743827, 42.2980817], [9.1743874, 42.2980687]], ""type"": ""LineString""}"
En exploitation;42.30207493493051, 9.155625277192108;"{""coordinates"": [[9.155596, 42.3019672], [9.1555843, 42.3020012], [9.1556851, 42.302044], [9.1556075, 42.3021606], [9.1555677, 42.3021649], [9.1555497, 42.3021668]], ""type"": ""LineString""}"
En exploitation;42.30106320191404, 9.155052617000237;"{""coordinates"": [[9.1547327, 42.3013442], [9.1552302, 42.300868], [9.1553729, 42.3009282], [9.1553809, 42.300939], [9.1553989, 42.3009407]], ""type"": ""LineString""}"
En exploitation;42.30687784715249, 9.148596288724606;"{""coordinates"": [[9.1488096, 42.3071483], [9.1487932, 42.3071428], [9.1486348, 42.3070751], [9.1485328, 42.3067929], [9.1485106, 42.3065918], [9.1485198, 42.3065642], [9.1485452, 42.3065484], [9.1485587, 42.3065394]], ""type"": ""LineString""}"
